repo	status	prismaModels	ourModels	prismaFks	ourFks	disagreements	detail
azadgupta1/Nuvora	missing-file						
ArthurOliveira0403/api-servify	missing-file						
rciesielski3/ev-data-platform	missing-file						
pnk-ltoc-892/nodebase	missing-file						
yeabwang/talkt	missing-file						
DennisGabriel-Dev/connect_api	missing-file						
Jinzo03/MatriArchive	missing-file						
Angshuman09/LazyFolio	missing-file						
shouryasarkar713/fieldward	missing-file						
mrshanshuvo/ambulance-dispatch-backend	missing-file						
eplord/lia	missing-file						
ericz99/useauro	missing-file						
Noroff-Online-Team/noroff-api	missing-file						
stephenstrange-blip/app-clone-tod	missing-file						
RushikeshBhavsar3605/Bloks	missing-file						
Amzur-Git/Blood_Bank	missing-file						
PetiteMaisonEpouvante/petite-maison-epouvante-poc	missing-file						
NoobOtaku-terminal/amazon-affiliate-platform	missing-file						
bunnekas/career-assistant	missing-file						
waihsu/hono-app	missing-file						
LEBEATO/fortinate-shopp	missing-file						
devdanio/hcd-health	missing-file						
harshalx1dev/next-ecom-admin	missing-file						
sunera321/Skybell_track_v2	missing-file						
a1fredowo/condotrack	missing-file						
JEAG02/Santuario_Victimas_Conflicto_Armado	missing-file						
amWRit/TFN-SOG-GALA	missing-file						
ryan-racer/Hackrare	missing-file						
mdsahidulc243223/Cyber-Crime-Complaint-Database-System	missing-file						
abdeldjalile-lafkir/learning-manage-system	missing-file						
Mateus-Fonseca847/brasileirao-api	missing-file						
ayanpandit/yougo-server	missing-file						
bspell00/budgeting-app	missing-file						
BICD-dev/authentication-system	missing-file						
RhailynJane/rhailyn_portfolio	missing-file						
probeen007/Kings_Canteen	missing-file						
akshaydecember/vrcinehub	missing-file						
agreatopportunity/Ai-Driven-Owners-Home-Sale-Site	missing-file						
minimingus/life-os-claude	missing-file						
AustinKong/finconnect-hackathon-backend	missing-file						
ArielQ1/backend-colegio	missing-file						
zouxiaoyang/math-mind-website	missing-file						
lorenzolarc/AREA	missing-file						
amirhurtado/alapp	missing-file						
rasyiqi-code/Ghost-Relay	missing-file						
Shreyanshi210205/QuizMate	missing-file						
aryansondharva/odoo	missing-file						
pinecone-studio/pinequest-s4-e1-team-9	missing-file						
josephchamoun/internal-operations-service-hub	missing-file						
YooPuiPui/cesfam-programa-infantil	missing-file						
gaurav-0774/Codes	missing-file						
SHREYOTHECODINGEXPERTO/StudyQuest-AI	missing-file						
JozConsortia/E-tender	missing-file						
prathamps/Sculpt_Project_MIT	missing-file						
anonymous-boy332/new-acode-repo	missing-file						
dung-h/tgdd	missing-file						
